,text,airline_sentiment_score
0,gusten,0
1,cancun,0
2,viaja,0
3,disfruta,0
4,manera,0
5,igual,0
6,sabiais,-1
7,trata,-1
8,bien,-1
9,santiago,-1
10,chilete,-1
11,cambia,-1
12,asientote,-1
13,manda,-1
14,volar,-1
15,wc,-1
16,traseroe,-1
17,nunca,-1
18,nunca,-1
19,nunca,-1
20,pidais,-1
21,cafe,-1
22,ryanair,-1
23,bueno,-1
24,vendan,-1
25,bordo,-1
26,exito,1
27,wow,1
28,bonito,1
29,solo,1
30,volado,1
31,unas,1
32,veces,1
33,siempre,1
34,tierra,1
35,felicitaciones,1
36,iberia,1
37,chuata,0
38,madrid,0
39,stgo,0
40,par,0
41,semanas,0
42,habra,0
43,cruzar,0
44,dedos,0
45,ahora,0
46,air,0
47,france,0
48,klm,0
49,igual,0
50,iberia,0
51,elimino,0
52,duplicidad,0
53,avales,0
54,agencias,0
55,nexotur,0
56,ano,-1
57,uniran,-1
58,resto,-1
59,iberia,-1
60,decian,-1
61,cataluna,-1
62,ave,-1
63,galicia,-1
64,rentable,-1
65,ryanair,-1
66,penosoyo,-1
67,solo,-1
68,viajo,-1
69,si,-1
70,alternativa,-1
71,ademas,-1
72,intentado,-1
73,hacer,-1
74,d,-1
75,nuevo,-1
76,compracon,-1
77,tarjeta,-1
78,permite,-1
79,aunq,-1
80,tarjeta,-1
81,di,-1
82,suerte,1
83,poder,1
84,volar,1
85,especialmente,1
86,aterrizar,1
87,mejor,0
88,foto,0
89,tecnologica,0
90,ano,0
91,womenintechspain,0
92,redhat,0
93,red,0
94,hat,0
95,iberia,0
96,country,0
97,manager,0
98,chollo,1
99,maleta,1
100,aerolite,1
101,barata,1
102,solo,1
103,enlace,1
104,omg,1
105,viendo,1
106,iberia,1
107,agosto,1
108,vuelo,1
109,directo,1
110,san,1
111,francisco,1
112,vuelta,1
113,corazon,1
114,saltando,1
115,iberia,-1
116,eta,-1
117,militar,-1
118,aerolineas,-1
119,peores,-1
120,experiencias,-1
121,sido,-1
122,todas,-1
123,hola,-1
124,andrea,-1
125,pareja,-1
126,sentencia,-1
127,firme,-1
128,abandono,-1
129,iberia,-1
130,praga,-1
131,indemnizado,-1
132,c,-1
133,llegando,-1
134,malaga,-1
135,ryanair,-1
136,pusieron,-1
137,musiquita,-1
138,altavoz,-1
139,encenti,-1
140,finalmente,-1
141,proporcionarme,-1
142,autorizacion,-1
143,viajar,-1
144,lamentable,-1
145,pues,-1
146,verdad,-1
147,pocas,-1
148,explicaciones,-1
149,ninguna,-1
150,alternativa,-1
151,cuenta,-1
152,etc,-1
153,dejando,-1
154,desear,-1
155,ofrecen,0
156,descuento,0
157,asistentes,0
158,gijonsecome,0
159,codigo,0
160,descuento,0
161,iigijonsecome,0
162,hice,-1
163,compra,-1
164,pasaje,-1
165,nunca,-1
166,llego,-1
167,mail,-1
168,confirmacion,-1
169,si,-1
170,bien,-1
171,figura,-1
172,reserva,-1
173,ingresando,-1
174,acabo,-1
175,venir,-1
176,mostrador,-1
177,atencion,-1
178,cliente,-1
179,mandan,-1
180,llamar,-1
181,telefono,-1
182,chistoso,-1
183,qu,-1
184,manana,-1
185,regresamos,-1
186,casa,-1
187,pasar,-1
188,fiestas,-1
189,podra,-1
190,comer,-1
191,puede,-1
192,ofrecer,-1
193,pues,0
194,sabes,0
195,iberia,0
