,text,airline_sentiment_score
0,gusten,0
1,cancun,0
2,viaja,0
3,disfruta,0
4,manera,0
5,igual,0
6,sabiais,-1
7,trata,-1
8,bien,-1
9,santiago,-1
10,chilete,-1
11,cambia,-1
12,asientote,-1
13,manda,-1
14,volar,-1
15,wc,-1
16,traseroe,-1
17,nunca,-1
18,nunca,-1
19,nunca,-1
20,pidais,-1
21,cafe,-1
22,ryanair,-1
23,bueno,-1
24,vendan,-1
25,bordo,-1
26,exito,1
27,wow,1
28,bonito,1
29,solo,1
30,volado,1
31,unas,1
32,veces,1
33,siempre,1
34,tierra,1
35,felicitaciones,1
36,iberia,1
37,chuata,0
38,madrid,0
39,stgo,0
40,par,0
41,semanas,0
42,habra,0
43,cruzar,0
44,dedos,0
45,disponibilidad,0
46,aerea,0
47,internacional,0
48,siguientes,0
49,destinos,0
50,argentinagol,0
51,airlines,0
52,madridiberia,0
53,airlin,0
54,ahora,0
55,air,0
56,france,0
57,klm,0
58,igual,0
59,iberia,0
60,elimino,0
61,duplicidad,0
62,avales,0
63,agencias,0
64,nexotur,0
65,ano,-1
66,uniran,-1
67,resto,-1
68,iberia,-1
69,decian,-1
70,cataluna,-1
71,ave,-1
72,galicia,-1
73,rentable,-1
74,ryanair,-1
75,penosoyo,-1
76,solo,-1
77,viajo,-1
78,si,-1
79,alternativa,-1
80,ademas,-1
81,intentado,-1
82,hacer,-1
83,d,-1
84,nuevo,-1
85,compracon,-1
86,tarjeta,-1
87,permite,-1
88,aunq,-1
89,tarjeta,-1
90,di,-1
91,suerte,1
92,poder,1
93,volar,1
94,especialmente,1
95,aterrizar,1
96,mejor,0
97,foto,0
98,tecnologica,0
99,ano,0
100,womenintechspain,0
101,redhat,0
102,red,0
103,hat,0
104,iberia,0
105,country,0
106,manager,0
107,chollo,1
108,maleta,1
109,aerolite,1
110,barata,1
111,solo,1
112,enlace,1
113,omg,1
114,viendo,1
115,iberia,1
116,agosto,1
117,vuelo,1
118,directo,1
119,san,1
120,francisco,1
121,vuelta,1
122,corazon,1
123,saltando,1
124,iberia,-1
125,eta,-1
126,militar,-1
127,aerolineas,-1
128,peores,-1
129,experiencias,-1
130,sido,-1
131,todas,-1
132,hola,-1
133,andrea,-1
134,pareja,-1
135,sentencia,-1
136,firme,-1
137,abandono,-1
138,iberia,-1
139,praga,-1
140,indemnizado,-1
141,c,-1
142,llegando,-1
143,malaga,-1
144,ryanair,-1
145,pusieron,-1
146,musiquita,-1
147,altavoz,-1
148,encenti,-1
149,finalmente,-1
150,proporcionarme,-1
151,autorizacion,-1
152,viajar,-1
153,lamentable,-1
154,pues,-1
155,verdad,-1
156,pocas,-1
157,explicaciones,-1
158,ninguna,-1
159,alternativa,-1
160,cuenta,-1
161,etc,-1
162,dejando,-1
163,desear,-1
164,ofrecen,0
165,descuento,0
166,asistentes,0
167,gijonsecome,0
168,codigo,0
169,descuento,0
170,iigijonsecome,0
171,hice,-1
172,compra,-1
173,pasaje,-1
174,nunca,-1
175,llego,-1
176,mail,-1
177,confirmacion,-1
178,si,-1
179,bien,-1
180,figura,-1
181,reserva,-1
182,ingresando,-1
183,acabo,-1
184,venir,-1
185,mostrador,-1
186,atencion,-1
187,cliente,-1
188,mandan,-1
189,llamar,-1
190,telefono,-1
191,chistoso,-1
192,qu,-1
193,manana,-1
194,regresamos,-1
195,casa,-1
